user_id	instance_count	machine_type	slots	memory	data_size_MB	pages	links	convergence_criterion	gross_runtime
10	6	r4.2xlarge	48	366000	142	2000000	10000000	0.0005	185
10	6	r4.2xlarge	48	366000	142	2000000	10000000	0.0005	183
10	6	r4.2xlarge	48	366000	142	2000000	10000000	0.0005	186
10	6	r4.2xlarge	48	366000	142	2000000	10000000	0.0005	189
10	6	r4.2xlarge	48	366000	142	2000000	10000000	0.0005	181
10	6	r4.2xlarge	48	366000	142	2000000	10000000	0.0005	178
10	6	r4.2xlarge	48	366000	142	2000000	10000000	0.0005	193
10	6	r4.2xlarge	48	366000	142	2000000	10000000	0.0005	191
10	6	r4.2xlarge	48	366000	142	2000000	10000000	0.0005	190
10	6	r4.2xlarge	48	366000	142	2000000	10000000	0.0005	187
