user_id	instance_count	machine_type	slots	memory	data_size_MB	pages	links	convergence_criterion	gross_runtime
4	8	r4.2xlarge	64	488000	131	1000000	10000000	0.005	3211
4	8	r4.2xlarge	64	488000	131	1000000	10000000	0.005	3217
4	8	r4.2xlarge	64	488000	131	1000000	10000000	0.005	3211
4	8	r4.2xlarge	64	488000	131	1000000	10000000	0.005	3282
4	8	r4.2xlarge	64	488000	131	1000000	10000000	0.005	3263
4	8	r4.2xlarge	64	488000	131	1000000	10000000	0.005	3376
4	8	r4.2xlarge	64	488000	131	1000000	10000000	0.005	3272
4	8	r4.2xlarge	64	488000	131	1000000	10000000	0.005	3213
4	8	r4.2xlarge	64	488000	131	1000000	10000000	0.005	3287
4	8	r4.2xlarge	64	488000	131	1000000	10000000	0.005	3375
