user_id	instance_count	machine_type	slots	memory	data_size_MB	pages	links	convergence_criterion	gross_runtime
8	2	r4.2xlarge	16	122000	131	1000000	10000000	0.0005	207
8	2	r4.2xlarge	16	122000	131	1000000	10000000	0.0005	212
8	2	r4.2xlarge	16	122000	131	1000000	10000000	0.0005	213
8	2	r4.2xlarge	16	122000	131	1000000	10000000	0.0005	221
8	2	r4.2xlarge	16	122000	131	1000000	10000000	0.0005	202
8	2	r4.2xlarge	16	122000	131	1000000	10000000	0.0005	194
8	2	r4.2xlarge	16	122000	131	1000000	10000000	0.0005	211
8	2	r4.2xlarge	16	122000	131	1000000	10000000	0.0005	223
8	2	r4.2xlarge	16	122000	131	1000000	10000000	0.0005	238
8	2	r4.2xlarge	16	122000	131	1000000	10000000	0.0005	224
