user_id	instance_count	machine_type	slots	memory	data_size_MB	pages	links	convergence_criterion	gross_runtime
1	10	r4.2xlarge	80	610000	131	1000000	10000000	0.001	5509
1	10	r4.2xlarge	80	610000	131	1000000	10000000	0.001	5520
1	10	r4.2xlarge	80	610000	131	1000000	10000000	0.001	5529
1	10	r4.2xlarge	80	610000	131	1000000	10000000	0.001	5490
1	10	r4.2xlarge	80	610000	131	1000000	10000000	0.001	5519
1	10	r4.2xlarge	80	610000	131	1000000	10000000	0.001	5510
1	10	r4.2xlarge	80	610000	131	1000000	10000000	0.001	5589
1	10	r4.2xlarge	80	610000	131	1000000	10000000	0.001	5523
1	10	r4.2xlarge	80	610000	131	1000000	10000000	0.001	5491
1	10	r4.2xlarge	80	610000	131	1000000	10000000	0.001	5560
