user_id	instance_count	machine_type	slots	memory	data_size_MB	pages	links	convergence_criterion	gross_runtime
5	6	r4.2xlarge	48	366000	263	1000000	20000000	0.01	4255
5	6	r4.2xlarge	48	366000	263	1000000	20000000	0.01	4356
5	6	r4.2xlarge	48	366000	263	1000000	20000000	0.01	4257
5	6	r4.2xlarge	48	366000	263	1000000	20000000	0.01	4452
5	6	r4.2xlarge	48	366000	263	1000000	20000000	0.01	4253
5	6	r4.2xlarge	48	366000	263	1000000	20000000	0.01	4359
5	6	r4.2xlarge	48	366000	263	1000000	20000000	0.01	4257
5	6	r4.2xlarge	48	366000	263	1000000	20000000	0.01	4358
5	6	r4.2xlarge	48	366000	263	1000000	20000000	0.01	4251
5	6	r4.2xlarge	48	366000	263	1000000	20000000	0.01	4153
