user_id	instance_count	machine_type	slots	memory	data_size_MB	pages	links	convergence_criterion	gross_runtime
9	12	r4.2xlarge	16	732000	436	3000000	30000000	0.0005	551
9	12	r4.2xlarge	16	732000	436	3000000	30000000	0.0005	545
9	12	r4.2xlarge	16	732000	436	3000000	30000000	0.0005	538
9	12	r4.2xlarge	16	732000	436	3000000	30000000	0.0005	523
9	12	r4.2xlarge	16	732000	436	3000000	30000000	0.0005	565
9	12	r4.2xlarge	16	732000	436	3000000	30000000	0.0005	531
9	12	r4.2xlarge	16	732000	436	3000000	30000000	0.0005	547
9	12	r4.2xlarge	16	732000	436	3000000	30000000	0.0005	554
9	12	r4.2xlarge	16	732000	436	3000000	30000000	0.0005	524
9	12	r4.2xlarge	16	732000	436	3000000	30000000	0.0005	542
