user_id	instance_count	machine_type	slots	memory	data_size_MB	pages	links	convergence_criterion	gross_runtime
2	2	r4.2xlarge	16	122000	131	1000000	10000000	0.0001	411
2	2	r4.2xlarge	16	122000	131	1000000	10000000	0.0001	402
2	2	r4.2xlarge	16	122000	131	1000000	10000000	0.0001	413
2	2	r4.2xlarge	16	122000	131	1000000	10000000	0.0001	424
2	2	r4.2xlarge	16	122000	131	1000000	10000000	0.0001	435
2	2	r4.2xlarge	16	122000	131	1000000	10000000	0.0001	431
2	2	r4.2xlarge	16	122000	131	1000000	10000000	0.0001	405
2	2	r4.2xlarge	16	122000	131	1000000	10000000	0.0001	411
2	2	r4.2xlarge	16	122000	131	1000000	10000000	0.0001	443
2	2	r4.2xlarge	16	122000	131	1000000	10000000	0.0001	456
