user_id	instance_count	machine_type	slots	memory	data_size_MB	features	observations	iterations	gross_runtime
1	2	r4.2xlarge	16	122000	9730	5	100000000	50	420
1	2	r4.2xlarge	16	122000	9730	5	100000000	50	420
1	4	r4.2xlarge	32	244000	9730	5	100000000	50	160
1	4	r4.2xlarge	32	244000	9730	5	100000000	50	190
1	6	r4.2xlarge	48	366000	9730	5	100000000	100	132
1	6	r4.2xlarge	48	366000	14540	5	150000000	1	100
1	8	r4.2xlarge	64	488000	9730	5	100000000	100	112
1	8	r4.2xlarge	64	488000	14540	5	150000000	1	87
1	10	r4.2xlarge	80	610000	9730	5	100000000	100	114
1	10	r4.2xlarge	80	610000	14540	5	150000000	1	55
1	12	r4.2xlarge	96	732000	14540	5	150000000	50	114
1	12	r4.2xlarge	96	732000	14540	5	150000000	50	90
