user_id	instance_count	machine_type	slots	memory	data_size_MB	line_length	lines	p_occurrence	gross_runtime
3	2	m4.2xlarge	16	64000	10100	100	100000000	0.0	110
3	2	m4.2xlarge	16	64000	10100	100	100000000	0.25	111
3	4	m4.2xlarge	32	128000	10100	100	100000000	0.75	102
3	4	m4.2xlarge	32	128000	10100	100	100000000	1.0	124
3	6	m4.2xlarge	48	192000	10100	100	100000000	0.5	132
3	6	m4.2xlarge	48	192000	10100	100	100000000	0.75	94
3	8	m4.2xlarge	64	256000	12625	100	125000000	0.75	103
3	8	m4.2xlarge	64	256000	12625	100	125000000	1.0	183
3	10	m4.2xlarge	80	320000	10100	100	100000000	0.0	28
3	10	m4.2xlarge	80	320000	10100	100	100000000	0.25	91
3	12	m4.2xlarge	96	384000	10100	100	100000000	0.75	142
3	12	m4.2xlarge	96	384000	10100	100	100000000	1.0	100
