user_id	instance_count	machine_type	slots	memory	data_size_MB	pages	links	convergence_criterion	gross_runtime
2	2	r4.2xlarge	16	122000	131	1000000	10000000	0.0005	215
2	2	r4.2xlarge	16	122000	131	1000000	10000000	0.001	194
2	4	r4.2xlarge	32	244000	263	1000000	20000000	0.0001	310
2	4	r4.2xlarge	32	244000	263	1000000	20000000	0.0001	314
2	6	r4.2xlarge	48	366000	142	2000000	10000000	0.0005	280
2	6	r4.2xlarge	48	366000	142	2000000	10000000	0.0005	282
2	8	r4.2xlarge	64	488000	145	3000000	10000000	0.005	240
2	8	r4.2xlarge	64	488000	145	3000000	10000000	0.01	191
2	10	r4.2xlarge	80	610000	131	1000000	10000000	0.001	199
2	10	r4.2xlarge	80	610000	131	1000000	10000000	0.005	145
2	12	r4.2xlarge	96	732000	142	2000000	10000000	0.001	260
2	12	r4.2xlarge	96	732000	142	2000000	10000000	0.001	271
