user_id	instance_count	machine_type	slots	memory	data_size_MB	line_length	lines	p_occurrence	gross_runtime
3	2	m4.2xlarge	16	64000	10100	100	100000000	0.0	122
3	2	m4.2xlarge	16	64000	10100	100	100000000	0.25	144
3	4	m4.2xlarge	32	128000	10100	100	100000000	0.75	122
3	4	m4.2xlarge	32	128000	10100	100	100000000	1.0	142
3	6	m4.2xlarge	48	192000	10100	100	100000000	0.5	102
3	6	m4.2xlarge	48	192000	10100	100	100000000	0.75	127
3	8	m4.2xlarge	64	256000	12625	100	125000000	0.75	138
3	8	m4.2xlarge	64	256000	12625	100	125000000	1.0	168
3	10	m4.2xlarge	80	320000	10100	100	100000000	0.0	62
3	10	m4.2xlarge	80	320000	10100	100	100000000	0.25	81
3	12	m4.2xlarge	96	384000	10100	100	100000000	0.75	84
3	12	m4.2xlarge	96	384000	10100	100	100000000	1.0	105
