user_id	instance_count	machine_type	slots	memory	data_size_MB	line_length	lines	p_occurrence	gross_runtime
5	2	m4.2xlarge	16	64000	20200	100	200000000	0.75	340
5	2	m4.2xlarge	16	64000	20200	100	200000000	0.75	350
5	4	m4.2xlarge	32	128000	20200	100	200000000	0.5	191
5	4	m4.2xlarge	32	128000	20200	100	200000000	0.75	194
5	4	m4.2xlarge	32	128000	20200	100	200000000	0.75	223
5	6	m4.2xlarge	48	192000	17675	100	175000000	0.0	75
5	6	m4.2xlarge	48	192000	17675	100	175000000	0.0	59
5	8	m4.2xlarge	64	256000	15150	100	150000000	0.0	58
5	8	m4.2xlarge	64	256000	15150	100	150000000	0.0	67
5	10	m4.2xlarge	80	320000	20200	100	200000000	1.0	240
5	10	m4.2xlarge	80	320000	20200	100	200000000	1.0	237
5	12	m4.2xlarge	96	384000	17675	100	175000000	0.25	96
5	12	m4.2xlarge	96	384000	17675	100	175000000	0.25	100
