user_id	instance_count	machine_type	slots	memory	data_size_MB	line_length	lines	p_occurrence	gross_runtime
3	2	m4.2xlarge	16	64000	12625	100	125000000	0.75	221
3	4	m4.2xlarge	32	128000	12625	100	125000000	0.75	152
3	6	m4.2xlarge	48	192000	10100	100	100000000	0.5	104
3	6	m4.2xlarge	48	192000	10100	100	100000000	0.75	121
3	8	m4.2xlarge	64	256000	12625	100	125000000	0.25	85
3	8	m4.2xlarge	64	256000	12625	100	125000000	0.5	113
3	10	m4.2xlarge	80	320000	17675	100	175000000	0.25	98
3	10	m4.2xlarge	80	320000	17675	100	175000000	0.5	134
3	12	m4.2xlarge	96	384000	10100	100	100000000	1.0	146
3	12	m4.2xlarge	96	384000	12625	100	125000000	0.0	52
