user_id	instance_count	machine_type	slots	memory	data_size_MB	line_length	lines	gross_runtime
1	2	c4.2xlarge	16	30000	9530	1000	10000000	360
1	2	c4.2xlarge	16	30000	9630	100	100000000	360
1	4	c4.2xlarge	32	60000	9530	1000	10000000	184
1	4	c4.2xlarge	32	60000	9630	100	100000000	186
1	6	c4.2xlarge	48	90000	13482	100	140000000	212
1	6	c4.2xlarge	48	90000	15408	100	160000000	236
1	8	c4.2xlarge	64	120000	17334	100	180000000	248
1	10	c4.2xlarge	80	150000	19260	100	200000000	246
1	10	c4.2xlarge	80	150000	9630	100	100000000	132
1	12	c4.2xlarge	96	180000	15408	100	160000000	194
