user_id	instance_count	machine_type	slots	memory	data_size_MB	line_length	lines	gross_runtime
3	2	c4.2xlarge	16	30000	9530	1000	10000000	370
3	2	c4.2xlarge	16	30000	9630	100	100000000	371
3	4	c4.2xlarge	32	60000	9530	1000	10000000	190
3	4	c4.2xlarge	32	60000	9630	100	100000000	200
3	6	c4.2xlarge	48	90000	9530	1000	10000000	170
3	6	c4.2xlarge	48	90000	9630	100	100000000	166
3	8	c4.2xlarge	64	120000	17334	100	180000000	280
3	8	c4.2xlarge	64	120000	17334	100	180000000	301
3	10	c4.2xlarge	80	150000	9530	1000	10000000	152
3	10	c4.2xlarge	80	150000	9630	100	100000000	160
3	12	c4.2xlarge	96	180000	9530	1000	10000000	150
3	12	c4.2xlarge	96	180000	9630	100	100000000	160
