user_id	instance_count	machine_type	slots	memory	data_size_MB	pages	links	convergence_criterion	gross_runtime
3	2	r4.2xlarge	16	244000	394	2000000	10000000	0.0001	248
3	4	r4.2xlarge	64	610000	145	1000000	30000000	0.0001	448
3	10	r4.2xlarge	80	122000	284	3000000	20000000	0.0001	248
3	6	r4.2xlarge	48	732000	131	1000000	10000000	0.0001	552
3	2	r4.2xlarge	32	488000	394	2000000	20000000	0.0005	206
3	8	r4.2xlarge	80	244000	284	2000000	10000000	0.0005	108
3	12	r4.2xlarge	16	732000	436	3000000	30000000	0.0005	110
3	8	r4.2xlarge	48	122000	394	1000000	30000000	0.0005	210
3	4	r4.2xlarge	16	244000	145	3000000	20000000	0.0005	310
3	4	r4.2xlarge	96	610000	284	1000000	20000000	0.001	190
