user_id	instance_count	machine_type	slots	memory	data_size_MB	features	observations	iterations	gross_runtime
2	2	r4.2xlarge	16	122000	9730	5	100000000	50	423
2	4	r4.2xlarge	32	244000	9730	5	100000000	50	188
2	6	r4.2xlarge	48	366000	9730	5	100000000	100	134
2	6	r4.2xlarge	48	366000	14540	5	150000000	1	95
2	8	r4.2xlarge	64	488000	9730	5	100000000	100	116
2	8	r4.2xlarge	64	488000	14540	5	150000000	1	91
2	10	r4.2xlarge	80	610000	9730	5	100000000	100	119
2	10	r4.2xlarge	80	610000	14540	5	150000000	1	50
2	12	r4.2xlarge	96	732000	14540	5	150000000	50	110
2	12	r4.2xlarge	96	732000	14540	5	150000000	50	75
