user_id	instance_count	machine_type	slots	memory	data_size_MB	line_length	lines	p_occurrence	gross_runtime
3	2	m4.2xlarge	16	64000	10100	100	100000000	0.0	130
3	2	m4.2xlarge	16	64000	10100	100	100000000	0.25	146
3	4	m4.2xlarge	32	128000	10100	100	100000000	0.75	130
3	4	m4.2xlarge	32	128000	10100	100	100000000	1.0	150
3	6	m4.2xlarge	48	192000	10100	100	100000000	0.5	105
3	6	m4.2xlarge	48	192000	10100	100	100000000	0.75	131
3	8	m4.2xlarge	64	256000	12625	100	125000000	0.75	144
3	8	m4.2xlarge	64	256000	12625	100	125000000	1.0	170
3	10	m4.2xlarge	80	320000	10100	100	100000000	0.0	65
3	10	m4.2xlarge	80	320000	10100	100	100000000	0.25	81
3	12	m4.2xlarge	96	384000	10100	100	100000000	0.75	91
3	12	m4.2xlarge	96	384000	10100	100	100000000	1.0	111
