user_id	instance_count	machine_type	slots	memory	data_size_MB	line_length	lines	p_occurrence	gross_runtime
1	2	m4.2xlarge	16	64000	20200	100	200000000	0.75	340
1	2	m4.2xlarge	16	64000	20200	100	200000000	0.75	328
1	4	m4.2xlarge	32	128000	20200	100	200000000	0.5	180
1	4	m4.2xlarge	32	128000	20200	100	200000000	0.75	195
1	4	m4.2xlarge	32	128000	20200	100	200000000	0.75	230
1	6	m4.2xlarge	48	192000	17675	100	175000000	0.0	82
1	6	m4.2xlarge	48	192000	17675	100	175000000	0.0	47
1	8	m4.2xlarge	64	256000	15150	100	150000000	0.0	71
1	8	m4.2xlarge	64	256000	15150	100	150000000	0.0	50
1	10	m4.2xlarge	80	320000	20200	100	200000000	1.0	240
1	10	m4.2xlarge	80	320000	20200	100	200000000	1.0	250
1	12	m4.2xlarge	96	384000	17675	100	175000000	0.25	95
1	12	m4.2xlarge	96	384000	17675	100	175000000	0.25	91
