user_id	instance_count	machine_type	slots	memory	data_size_MB	line_length	lines	p_occurrence	gross_runtime
2	2	m4.2xlarge	16	64000	20200	100	200000000	0.75	400
2	2	m4.2xlarge	16	64000	20200	100	200000000	0.75	500
2	4	m4.2xlarge	32	128000	20200	100	200000000	0.5	90
2	4	m4.2xlarge	32	128000	20200	100	200000000	0.75	400
2	6	m4.2xlarge	48	192000	17675	100	175000000	0.0	200
2	6	m4.2xlarge	48	192000	17675	100	175000000	0.0	140
2	8	m4.2xlarge	64	256000	15150	100	150000000	0.0	130
2	8	m4.2xlarge	64	256000	15150	100	150000000	0.0	10
2	10	m4.2xlarge	80	320000	20200	100	200000000	1.0	311
2	12	m4.2xlarge	96	384000	17675	100	175000000	0.25	200
