user_id	instance_count	machine_type	slots	memory	data_size_MB	features	observations	k	gross_runtime
1	2	r4.2xlarge	16	122000	13200	5	125000000	3	791
1	4	r4.2xlarge	32	244000	16000	5	150000000	3	355
1	4	r4.2xlarge	32	244000	16000	5	150000000	3	360
1	6	r4.2xlarge	48	366000	10500	5	100000000	9	225
1	6	r4.2xlarge	48	366000	13200	5	125000000	3	212
1	8	r4.2xlarge	64	488000	10500	5	100000000	9	175
1	8	r4.2xlarge	64	488000	10500	5	100000000	9	193
1	10	r4.2xlarge	80	610000	10500	5	100000000	3	128
1	10	r4.2xlarge	80	610000	10500	5	100000000	3	118
1	12	r4.2xlarge	96	732000	13200	5	125000000	9	172
