user_id	instance_count	machine_type	slots	memory	data_size_MB	features	observations	k	gross_runtime
5	4	r4.2xlarge	96	488000	21300	5	100000000	3	380
5	12	r4.2xlarge	64	183000	13200	10	125000000	5	290
5	4	r4.2xlarge	80	732000	20300	5	150000000	5	410
5	10	r4.2xlarge	16	610000	10100	15	175000000	9	500
5	4	r4.2xlarge	48	122000	8000	5	125000000	3	470
5	4	r4.2xlarge	32	732000	20300	10	150000000	7	480
5	12	r4.2xlarge	16	122000	30500	10	100000000	7	530
5	6	r4.2xlarge	96	610000	30500	15	175000000	5	600
5	6	r4.2xlarge	32	366000	20200	5	150000000	3	306
5	8	r4.2xlarge	80	732000	20300	15	125000000	9	794
